"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","556","Create user","LMS service","Thu Oct 30 22:23:00 UTC 2025","passed","Thu Oct 30 22:23:00 UTC 2025","Create entity","Users","",""
"","287","Update exercise","LMS service","Thu Oct 30 22:22:54 UTC 2025","passed","Thu Oct 30 22:22:55 UTC 2025","Update entity","Exercises","",""
"","14","Get user me","LMS service","Thu Oct 30 22:23:01 UTC 2025","passed","Thu Oct 30 22:23:01 UTC 2025","Get entity","Users","",""
"","22","Create exercise","LMS service","Thu Oct 30 22:22:54 UTC 2025","passed","Thu Oct 30 22:22:54 UTC 2025","Create entity","Exercises","",""
"","263","Get file with incorrect file id","LMS service","Thu Oct 30 22:22:59 UTC 2025","passed","Thu Oct 30 22:23:00 UTC 2025","Validate entity","Files","",""
"","268","Create file","LMS service","Thu Oct 30 22:22:57 UTC 2025","passed","Thu Oct 30 22:22:57 UTC 2025","Create entity","Files","",""
"","19","Get exercises","LMS service","Thu Oct 30 22:22:56 UTC 2025","passed","Thu Oct 30 22:22:56 UTC 2025","Get entities","Exercises","",""
"","29","Get courses","LMS service","Thu Oct 30 22:22:53 UTC 2025","passed","Thu Oct 30 22:22:53 UTC 2025","Get entities","Courses","",""
"","553","Login with correct email and password","LMS service","Thu Oct 30 22:22:51 UTC 2025","passed","Thu Oct 30 22:22:52 UTC 2025","Login","Authentication","",""
"","20","Delete file","LMS service","Thu Oct 30 22:22:59 UTC 2025","passed","Thu Oct 30 22:22:59 UTC 2025","Delete entity","Files","",""
"","20","Get exercise","LMS service","Thu Oct 30 22:22:55 UTC 2025","passed","Thu Oct 30 22:22:55 UTC 2025","Get entity","Exercises","",""
"","310","Update course","LMS service","Thu Oct 30 22:22:52 UTC 2025","passed","Thu Oct 30 22:22:52 UTC 2025","Update entity","Courses","",""
"","546","Create user","LMS service","Thu Oct 30 22:22:59 UTC 2025","passed","Thu Oct 30 22:23:00 UTC 2025","Create entity","Users","",""
"","264","Create file with empty directory","LMS service","Thu Oct 30 22:22:58 UTC 2025","passed","Thu Oct 30 22:22:59 UTC 2025","Validate entity","Files","",""
"","15","Get file","LMS service","Thu Oct 30 22:22:57 UTC 2025","passed","Thu Oct 30 22:22:57 UTC 2025","Get entity","Files","",""
"","27","Create course","LMS service","Thu Oct 30 22:22:53 UTC 2025","passed","Thu Oct 30 22:22:53 UTC 2025","Create entity","Courses","",""
"","264","Create file with empty filename","LMS service","Thu Oct 30 22:22:58 UTC 2025","passed","Thu Oct 30 22:22:58 UTC 2025","Validate entity","Files","",""
"","290","Delete exercise","LMS service","Thu Oct 30 22:22:56 UTC 2025","passed","Thu Oct 30 22:22:56 UTC 2025","Delete entity","Exercises","",""
"","560","Create user","LMS service","Thu Oct 30 22:23:00 UTC 2025","passed","Thu Oct 30 22:23:00 UTC 2025","Create entity","Users","",""
